Tweet,Keyword,Sentiment,start,end
"Retweet.com just went up for sale ! A $ 1 , 000 , 000 sale price is being predicted . Listen up CNN , NYT , NBC promo http://tinyurl.com/ycm6w22",NBC,neutral,26,27
Just got back from my Great Grandma's . Now about to go to the grocery store .,Great Grandma's,neutral,5,7
"Sony partners with Vodafone for Vita in Europe , AU Vodafone announced as ""preferred partner"" for Sony's PlayStation Vita 3G connectivity",AU Vodafone,neutral,9,11
Petition for UN laws to be changed so that cannabis can be used for medicinal use and to decriminalise growing . http://rt.nu/lt-mw8,UN,neutral,2,3
"Mad About prize s: DBS Dine & Win w/ very spin : Olympus Digital Cameras , S $ 88 cash prizes , holiday for 2 to Hong Kong http://ow.ly/102Xy",Olympus,neutral,12,13
"Penny-Pincher Deals From Amazon Wireless , Phones Worth $ 0.01 , [ Motorola DROID RAZR 4G , BlackBerry Torch 4G 9810 , etc ] http://t.co/fl1hxREU",Motorola,neutral,12,13
@theresaljx @gerrxgerry I'll do the flip table meme . Haha,@gerrxgerry,neutral,1,2
how many of you remember that 2 February was the birthday of Sukhbaatar the great commander ? #mongolia #revolution,Sukhbaatar,positive,12,13
"Oh USA .. Oh ISRAEL ... your 9/11 is our 24/7 ISLAM is totally innocent from those events , maybe Bush's regime isn't",ISLAM,positive,11,12
""" @ BillGate s: Met with @NYTimesFriedman to talk about the future of the US . Sharing video Friday . # askbillg""",BillGate s:,neutral,2,4
Check out my personal newspaper on The Tweeted Times http://t.co/uhQ61nh,The Tweeted Times,neutral,6,9
Airfares set to climb higher - Globe and Mail http://tinyurl.com/27ehtvo,Globe and Mail,neutral,6,9
Tesco information on Britain's largest supermarket discount s: Tesco claims to be 's largest discoun ... http://bit.ly/fkLHXe supermarket,http://bit.ly/fkLHXe,neutral,16,17
Mockton proposes mining industry news ventures in Australia : http://t.co/s8e34tDt,Mockton,neutral,0,1
"How Google's +1 Button Affects SEO - Since the days of Google Buzz , the +1 button has been a mystery to users and co ... http://t.co/aps76UPm",Google's,negative,1,2
I posted a new photo to Facebook http://t.co/NbOPYNwy,Facebook,neutral,6,7
Quasimidi Sirius Demoed by Polish Master on I Have Synth http://tinyurl.com/y9rcfsf,Quasimidi Sirius,neutral,0,2
"Michael Anderson , Co-founder Aboriginal Tent Embassy says they dont want to be part of the Aust Constitution coz Aust is racist & liars #RA",Aust Constitution,negative,16,18
http://t.co/PrUEpa7C Viad Corp acquires Banff International Hotel : Viad Corp has completed the acq ... http://t.co/1UnFeJVQ EDconsulting_,Banff International Hotel,neutral,4,7
The Supranatural Secrets of the Freemasons http://ow.ly/5kf81,Freemasons,neutral,5,6
morehead state : O http://bit.ly/fv2kOm Where do I go from here with my Associates in Science degree ?,morehead state,neutral,0,2
A day at the office for Chuck Yeager - Framework - Photos and Video - Visual Storytelling from the http://fb.me/Rtsts3YF,Chuck Yeager,neutral,6,8
Mark Burdett succeeds Allan Horlick at WUSA : It's a return to Washington's TV-station arena for Burdett â?? he was ... http://t.co/2dqlyIsu,WUSA,neutral,6,7
PayPal Adds Facebook Payments App - American Banker Article http://t.co/wm3g2Gpa,PayPal,neutral,0,1
Christie's International Real Estate Ends 2011 and Opens 2012 With Flurry of ... http://t.co/dByV1MCu,Christie's International Real Estate,neutral,0,4
IBM and HP Dominated Server Sales Last Quarter : IBM and Hewlett-Packard remained the top tw ... http://t.co/904H5lOF http://t.co/SuNDgw5S,IBM,positive,0,1
"My Personal Favorite : Body by Viâ?¢ Protein Shake Recipes - Keep It Tasty , Fresh and Keep You Motivated ! http://t.co/6wj3cuGM",Body by Viâ?¢,positive,4,7
Time ticking for Assad in Syria - Turkey's Erdogan : http://t.co/PbgZydxk,Assad,negative,3,4
"And be patient , for indeed , Allah does not allow to be lost the reward of those who do good . [ Surat Hud Chapter 11 Verse 115 ]",Allah,positive,7,8
"prof in course outline . "" â?? A hero is a man who does what he can . The others do not do it . â?? â?? Romain Rolland ( Nobel laureate in literature ) """,Romain Rolland,neutral,27,29
The Super Samsung Galaxy R and the Blackberry Torch 9810-a Look at Processors http://t.co/60SXnpaZ,Blackberry,neutral,7,8
"Listening to Ambilipoovalle Ayyappan album ( 9 songs ) for the third time in a row , very touchy n divine . Thanks to @vedhalam for sharing ...",Ambilipoovalle,positive,2,3
"The best talk and guidance : Quran & Sunnah Narrated Tariq ( Radi-Allahu 'anhu ): 'Abdullah said , ""The best talk is ... http://t.co/M5fTfG6T",'Abdullah,neutral,15,16
Sky launching a new IP TV service soon - http://t.co/obagk6sz,Sky,positive,0,1
"UFC on FX 2 : Alves vs . Kampmann Preview , Picks , O dds: A few fun facts for you guys/girls regarding this event : T ... http://t.co/qPbR0BuC",Kampmann,neutral,8,9
""" @ ESPN_MLB : Video : Kurkjian thinks Sox will hold on - http://t.co/gLbDBzIr""/ what about the braves ?",Kurkjian,neutral,6,7
"Madigan , Federal Government & State Attorneys General Secure $ 25 ... http://t.co/MyPo2cjX",Madigan,neutral,0,1
Ã¢Â?Â? An eye for eye only ends up making the whole world blind . Ã¢Â?Â? Mohatma Gandhi .,Mohatma Gandhi,neutral,15,17
"Ultimate Betrayal of Trust Penn State Coach Raped Kids , Admin Covered Up ;) penn state http://t.co/qEGdP7RV",Penn State Coach,negative,4,7
Motorstorm RC on Vita is free in US tomorrow : Sony offers spin-off racer for free . US-resident Vita owners will ... http://t.co/CdphuKDu,Sony,neutral,10,11
"More period work for Downton star : Based on a true story , Stevens' character is Gilbert Evans , a land agent for ... http://t.co/2FgMaGJX",Gilbert Evans,neutral,16,18
We're currently looking at the AU's peacekeeping operations in concert with the EU . Certainly some challenges to be solved in that respect .,EU,negative,12,13
"@andersoncooper Rally for #Syria in #NYC on Saturday at 1pm in front of the UN , organized by Arab Americans for Democracy in Syria . #Daraa",UN,neutral,14,15
Gap Womens Light Nude Ultra Low Stretch Cotton Teeny Bikini : Gap Womens Light Nude Ultra Low Stretch ... http://bit.ly/g9WkDs supermarket,Gap,neutral,0,1
http://t.co/PrUEpa7C Dunkin â?? Brands Announces Initiation of Cash Dividen d: Dunkin â?? Brands Announce ... http://t.co/GQyew6Ws EDconsulting_,Dunkin â?? Brands,neutral,1,4
http://t.co/7XRT4Ttw new music releases Peter Gabriel sets new rules for his works,Peter Gabriel,neutral,4,6
Waste New s: Mayor Bloomberg to unveil recycling initiatives for NYC http://t.co/qjCFOCRv,Mayor Bloomberg,neutral,3,5
"Tema destaca do: The top five things you need to know about EPA â?? s new carbon rule | Grist http://t.co/4Wx8yKXp, see more http://t.co/foWtLHSS",EPA,neutral,12,13
Check this video out -- Coca Cola Content 2020 Part One http://t.co/Vn2XJ95D via @youtube,Coca Cola,neutral,5,7
"Enjoyed Public Parts by @jeffjarvis . Wonderful description of implications , benefits , and principles of publicness . Highly recommended .",@jeffjarvis,positive,4,5
I am glad you are letting Herman Cain diappear of his on doing .,Herman Cain,neutral,6,8
AnCal is an open source calendar application for mobile phones with Google Android operating system . http://goo.gl/fb/wSVvX,Google,neutral,11,12
Origin Energy reports 15 % profit growth http://t.co/SuyTGyy,Origin Energy,positive,0,2
Twitter Help Center | Twitter 101 : How should I get started using Twitter ? http://t.co/Cnm9Q77 via @support,Twitter,neutral,13,14
"If you're attending NAMC's Work/Life Conference tomorrow at the Crest Hollow CC , stop by Alcott's exhibit table and say hello !",NAMC's,neutral,3,4
Asus launches Transformer tablet in India : http://t.co/izFX9jr via @AddThis,Asus,neutral,0,1
#FF @assadjo for his passion to give .,@assadjo,neutral,1,2
Steve Maviglio/ California Majority Report : Another Meg Whitman Pinocchio Moment - http://bit.ly/duCr5G,Meg Whitman,negative,7,9
#usa Key al Qaeda operative killed in U.S . drone strike in Pakistan ... tinyurl.com/3cx67lt,al Qaeda,neutral,2,4
Visit http://goo.gl/kUa9H and vote for Chayanne in the Eventful 2011 Latin Fans' Choice Awards 27,Chayanne,positive,5,6
"CBI inquiry ordered against Mumbai's top cops including ATS chief Rakesh Mariya n ACP Vishwas Nagare Patil , for trying to save an IPS officer",Vishwas Nagare Patil,neutral,14,17
I posted a new photo to Facebook http://t.co/1ZuCr6cb,Facebook,neutral,6,7
"@iansomerhalder Dear Ian , Merry Christmas http://cards.yandex.ru/show.xml?id=825091707d87323cfefe8e603f875fb1",Ian,neutral,2,3
"#Madden12Facts If you play with CAR Panthers , you cannot trade for any players with tattoos or piercings .",CAR Panthers,neutral,5,7
MetLife Dental Insurance Review : Participants of MetLife Dental Insurance plans receive benefits through a netwo ... http://t.co/eyUHuNj,MetLife,neutral,7,8
AUTOSAR timing models minimize ECU risks http://t.co/Naxqu3RA,AUTOSAR,neutral,0,1
@March15Syria please RT : Rally for #Syria tomorrow in #NYC by the UN at 1pm . Come support those Syrians literally dying for freedom !!,UN,neutral,12,13
@Ghonim @statedept RT Rally For #Syria NOW by the UN 1st and 47th !!! Come support and bring your friends !!! RT,UN,positive,9,10
"Hey NASCAR fans , the 2011 racing season concludes with the NASCAR Sprint Cup Series Pure Michigan 400 . http://t.co/W7I1EA8",NASCAR,positive,1,2
"As Viadeo Shelves IPO , LinkedIn Set To Begin Trading On Thursday http://tcrn.ch/m9QQVO",LinkedIn,neutral,5,6
Support Mohamed El Baradei : add a #PicBadge to your image - http://t.co/3RY4pL05,Mohamed El Baradei,positive,1,4
Amitabh got this much fame through his height r through his hair ?,Amitabh,negative,0,1
Today Well Lived Will Make Tomorrow a Vision Of Hope : Cheers !! Joyce and Ray : http://bit.ly/GoldenBlog,Ray,neutral,15,16
@sardesairajdeep its a genuine defect in NOKIA mobile phones .... plz dnt ignore it ..,NOKIA,negative,6,7
"Young Entrepreneurs Ask Jack Dorsey Question s: By Scott Budman and Sajid Farooq Jack Dorsey , the Co-Founder and ... http://t.co/yZW5xx3F",Sajid Farooq,neutral,11,13
hey !! please follow me on twitter !! thank you !! love u !! & lt ; 3,twitter,neutral,6,7
Racism : Mexicans are mislabeled as lazy in order to allow Walmart and other corporations to work them like dogs .,Walmart,negative,11,12
"Tema destaca do: The top five things you need to know about EPA â?? s new carbon rule | Grist http://t.co/4Wx8yKXp, see more http://t.co/foWtLHSS",Grist,neutral,19,20
New post : Mass Beacon Portal Quiz http://tinyurl.com/39xyq7u,Mass Beacon,neutral,3,5
"Meet Lisa Crews our ""Cosmetic Surgery Coordinator"" http://t.co/mgn1vcye http://t.co/knQFWoJN",Lisa Crews,positive,1,3
"Rudyard Kipling IF poem # 7 If you can bear to hear the truth you've spoken Twisted by knaves to make a trap for fools ,",Rudyard Kipling,neutral,0,2
Checking with careers about #DWC graduates achievements like @MaryamBinFahad @NaylaAlkhaja @malmarri that will be displayed at #DWCVillage,@malmarri,neutral,10,11
"Uncovering ASU's solar success story : Campus officials , pleased with Arizona State's growing solar portfolio , en ... http://t.co/Pe7fmZmK",ASU's,positive,1,2
Haiti : After the QuakeHow the UN is helping to protect and empower women http://t.co/qSfjuu6h,UN,neutral,6,7
@ImZaheer common zaheer .. need to provide good consistent bowling performance from now .... all the best,zaheer,positive,2,3
Directed by Cameron McKirdy Camera props to Seth Morrisey and Kelly Bode Specia ( @YouTube http://t.co/THWws0vM),Cameron McKirdy,neutral,2,4
"Finally someone is making a noise about this ! About time ! ""Gavaskar , Shastri are biased"" http://t.co/M4qc4M6",Shastri,negative,14,15
Grace just finished her shopping spree with that $ 250 voucher she got free just by giving an email here promo http://tinyurl.com/ycceobj,Grace,positive,0,1
Check out Dell on Google+ ! RT @Dell Google+ Pages are live ! See our Dell page here http://t.co/oNO0l22x,Google+,neutral,4,5
@alemacol I'm still here Alex !!! ... That beautiful sunset !! ... a big Hug for You !!! =* http://myloc.me/hreON,Alex,positive,4,5
NFL Superbowl XLVI NY Giants vs NE Patriots Live Stream : MSN forum Statistics : 1 Post || 11 Views Post by Hublag http://t.co/G746SSu3,NFL Superbowl XLVI,neutral,0,3
Twitter / Steve Martin : I hate my life . http://t.c ... http://t.co/lIFq2AWX ( via @RolandhV ),Steve Martin,negative,2,4
Shaklee News Dr Forrest C Shaklee Story YouTube - YouTube : Dr Forrest C . Shaklee- The Founding Father of S ... by ... http://t.co/KW3XxTii,Dr Forrest C Shaklee,neutral,2,6
Iran asks UN to condemn killing of nuclear scientist http://t.co/DgPFnva3,UN,neutral,2,3
Depeche Mode founders Vince Clarke and Martin Gore announce new album details | News | http://t.co/DFA1fW08 http://t.co/1zCxqVI7,Vince Clarke,neutral,3,5
@deema_1990 diab and hamaki very nice diab introduce different music make me happy feel that battery full and need to dance,diab,positive,1,2
@lizzlaw I believe this feels akin to when Adele swept six awards out of six at the Grammys . Why're you so against Hugo . Is it that bad ?,Hugo,positive,23,24
Kris Humphries Refuses To Sign Divorce Papers http://t.co/jqkevwjj,Kris Humphries,neutral,0,2
Fantastic article on how Steve Jobs' failures lead to his biggest successes http://ow.ly/6cBHz,Steve Jobs',positive,4,6
"Mad About prize s: DBS Dine & Win w/ very spin : Olympus Digital Cameras , S $ 88 cash prizes , holiday for 2 to Hong Kong http://ow.ly/102Xy",Olympus,neutral,12,13
"Thank you to all who sponsored Helen at Wwhd for the charity cycle ride - we raised over Â£8 , 000",Helen,neutral,6,7
""" @ ESPN_MLB : Video : Kurkjian thinks Sox will hold on - http://t.co/gLbDBzIr""/ what about the braves ?",braves,neutral,17,18
Still Suicide Shopping to Ben Bernanke â?? s Last Dance http://t.co/gisAsqWc,Ben Bernanke,neutral,4,6
Movie Review : 'Jack and Jill' - Conway Daily Sun : Patriot-NewsMovie Review : 'Jack and Jill'Conway Daily SunÃ¢Â?Â?Ja ... http://t.co/N7xEGdHb,Conway Daily Sun,neutral,7,10
@ndtv She is selected from congress group ! No result ! BJP don't waste the time,BJP,negative,11,12
"I just joined Digg , you should follow me ! http://t.co/wAmcVvl via @Digg",Digg,neutral,3,4
Kim Shin Young's Bowel Trouble Maker dae to the bak man !,Kim Shin Young's,neutral,0,3
"Triplefin Achieves a Microsoft Gold Digital Marketing Competency in the ... : CINCINNATI , OH -- ( Marketwire - March ... http://t.co/CFLLzZsd",Microsoft,neutral,3,4
"Poland , Czech Republic , Greece and Russia ... sounds good to me",Czech Republic,positive,2,4
@robinsvine we review company replicated sites use by independent consultants . Here's our R+F site review : http://ow.ly/4CLH8,@robinsvine,neutral,0,1
"NASA unveils sweeping new program s: A week before President Obama attends a ""space summit"" in Florida , NASA unveil ... http://bit.ly/cwA9DE",NASA,neutral,0,1
David Wood shares the TRUE STORY of how his life transformed through the power of internet marketing ... promo http://tinyurl.com/2a5jhpc,David Wood,positive,0,2
Senior Obama Campaign Staffer Tweets Subtle Attack on Romney : President Obama's senior campaign strategist took ... http://t.co/DzilfcyU,Obama,neutral,1,2
"Youths shape the future of online TV , movies , music : By Martha Irvine AP Not wanting to mar his law school recor ... http://t.co/1R4B5D9k",AP,neutral,15,16
Casting my vote to bring @Yobongo to Al Farwaniyah . Join me and vote too ! http://t.co/h3vEk1R,Al Farwaniyah,positive,7,9
looks like newcastle is looking forward to their 1st lost in the season ! Many more to come !,newcastle,negative,2,3
#Africa Tuareg Rockers Tinariwen Set for 2010 U.S . Summer Tour ... http://tinyurl.com/24toaml,Tuareg Rockers,neutral,1,3
"DON'T SUPPORT OCEANARIUM IN RWS . DOLPHINS DONT BELONG IN A CIRCUS , THEY SHOULD BE RETURN TO THEIR NATURAL HABITAT ..",OCEANARIUM,negative,2,3
"Portland entrepreneurs switch to cloud computing , talk with Microsoft's Cindy ... : Imagination Yoga shift ... http://t.co/IwR2BdJM #cloud",Cindy,neutral,10,11
"Orange to Offer Visa Mobile Prepaid Accounts to Orange Money Customers in ... : Visa Mobile Prepaid , a new Visa p ... http://t.co/M6JqqPV1",Visa,neutral,3,4
"with their bodies . In a statement , the tribes arrived NewsYemen said the Guard forces committed a heinous crime is one of war crimes and",NewsYemen,neutral,11,12
"â?? Dear Mr . President , I hereby resign â?? . Facebook spying goes too far . â?? Simply Zesty - Simply Zesty http://t.co/pfEKlFZb vÃ­a @3wfargentina",Facebook,negative,11,12
Why Veganism ? Check out Kim Barnouin â?? s @SkinnyBitch Book of #Vegan Swaps & #Recipes http://t.co/Z0c3iY9w via @TheOrganicView,Kim Barnouin,positive,5,7
@haxorthematrix Sounds like Leinenkugel's Sunset Wheat . The original fruity pebbles beer .,Leinenkugel's,neutral,3,4
"When you innovate , you've got to be prepared for everyone telling you you're nuts - Larry Ellison http://t.co/V7zl4SJf",Larry Ellison,neutral,16,18
I gave @NWHippieGoddess +K about Wikileaks on @klout . What are you influential about ? http://t.co/PAHNZGPR,Wikileaks,neutral,5,6
"In the meantime , if you follow us on Twitter or like us on Facebook to show you're serious , maybe we'll let you in first in the queue ;-)",Facebook,neutral,14,15
"'Being first cousin of Imran Khan , Mr Niazi was â?? expected â?? to take this step' . http://t.co/o8nVC6cn",Imran Khan,neutral,4,6
To judah : Better to study boxing rules before steppin' in the ring .,judah,negative,1,2
SA made G Kristen as coach . They actually misread Ind WC victory . Can some one pls tell them they need MSD to win ? #MSD #kristen,G Kristen,negative,2,4
Social Media New s: Twitter to Launch Real-Time Analytics Tool ... http://bit.ly/bfN9GB,Twitter,neutral,4,5
hyundai safety Drive Safe through the Winter http://t.co/sUc5M1HM,hyundai,neutral,0,1
"NHRA Teams Return To Seattle , Enders Seeks 1st Win http://t.co/HCU0yji via @motorsport",Enders,neutral,6,7
Supreme Court throws out criminal conviction in animal cruelty case â?? WSLS.com http://bit.ly/c1B4h0,WSLS.com,neutral,11,12
"Jon Wertheim : Azarenka steamrolls Sharapova to win first Grand Slam title Nerves are unpredictable . And in tennis , they make all the diff",Azarenka,neutral,3,4
Samsung Galaxy S2 can't sync with Samsung kies . Problem ?,Samsung,negative,6,7
People & Entertainment Prince Harry takes in a show â?? in Vegas - Press Heral d: Press HeraldPeople & Entertainmen ... http://t.co/OebduPLR,Press Heral d:,neutral,13,16
"Budget 2012 : GlaxoSmithKline to invest Â£500m in UK and create 1 , 000 jobs after .. http://t.co/lnwVuOYb ( via @BusinessNewz )",GlaxoSmithKline,neutral,3,4
"BBCNews , Awaiting the Im'am : Awaiting The Im'am , The Prince of Peac e : http://t.co/NZJsZvZb Christian/Buddhist perspective also .",BBCNews,neutral,0,1
"Obama 'Allow Small Business Mortgage Help' - Political Punch : Looking to spur job growth , Pres . Obama proposed the ... http://bit.ly/aNuY7k",Obama,neutral,18,19
Support Mohamed El Baradei : add a #PicBadge to your image - http://t.co/3RY4pL05,Mohamed El Baradei,positive,1,4
AlArabia : The signing of the operational mechanism of the Gulf initiative Tuesday in Riyadh,AlArabia,neutral,0,1
David Wood shares the TRUE STORY of how his life transformed through the power of internet marketing ... promo http://tinyurl.com/2a5jhpc,David Wood,positive,0,2
Distributed Marketing Technologies Enable Smarter Marketing Operations ( PR Newswire via Yahoo ! Finance ) http://tinyurl.com/ydpsxdp,Yahoo ! Finance,neutral,11,14
"Le Guin ""Many of my science fiction stories involve a kind of anthropologist who is alone on a planet , set alone among a strange people.""",Le Guin,neutral,0,2
Limited time ! Get our 5 song Christmas EP totally free ! A Jumpin' Christmas ! Grouptune http://t.co/jms6qKMO via @addthis,Grouptune,positive,16,17
Who controls the past controls the future . Who controls the present controls the past ... George Orwell .,George Orwell,neutral,16,18
New post : MOH Manuel UEI College http://t.co/hJQQoE55,Manuel,neutral,4,5
"@ahmadesseily yousri is not the old yousri we all know , where is yousri's old hard questions ?",yousri,negative,6,7
@MahaElHajj it's true .. Watch the last part where ppl are fighting with the securities of the mall ?? Don't blame them when they come here,@MahaElHajj,neutral,0,1
@artrotter We were in Florence for part of our honeymoon in October ! :),@artrotter,positive,0,1
@khadijahafeji All r doing well .. But i like Ishant .. The way his bowl and he crossed 150 kmph ..,Ishant,positive,9,10
Selling fast on @GoogleOffers : 50 % off at Michi Sushi http://t.co/RIQnjfcx,Michi Sushi,positive,9,11
"Hi Everyone at James Daniel , We wanted to send you a great big THANK YOU ... for sending the dj to our Catering ... http://t.co/6Zhn7MFi",James Daniel,positive,3,5
Cheap Tickets To : Cox appreciates Pujols' value to game http://cheapticketsto.net/cox-appreciates-pujols-value-to-game/,Cox,neutral,4,5
nasa aliens - Get Colon health information and how to support your colon with detox diets - nasa aliens http://goo.gl/kmag3,nasa,neutral,0,1
THAKSIN do not want 2B come PM . But he wants 2B the PRESIDENT of the REPUBLIC of THAILAND .,PRESIDENT,neutral,13,14
Attorney says woman accused of conspiring to bilk actor ... - Canada East http://tinyurl.com/26re4hs,Canada East,neutral,11,13
Just saw this on Amazon : 'Canon EOS Rebel T1i 15.1 MP CMOS Digital SLR Camera with 3-Inch LCD ... ' by Canon for $ 749.99 http://amzn.to/9I2aEY,Canon,positive,22,23
MoD inspectors to assess economic impact of any BAE shipyard closure : News in pictures On Facebook Suggested Top ... http://t.co/EcB9FY5p,BAE shipyard,neutral,8,10
new england tunershops Page 2 Subaru Impreza WRX STI Forums IWSTIcom : XX Tuning is old and now lame if they are ... http://t.co/PzYONZxf,IWSTIcom,neutral,10,11
@camanpour Syrian army fires on its people unarmed and sleeping . Its OWN people . UNARMED . SLEEPING . Please spread the word ! RT #Syria,Syrian army,negative,1,3
philadelphia eagles Kevin Kolb : Five Reasons Why Andy Reid Has To Trade Him http://bit.ly/9ptj1h,Andy Reid,neutral,8,10
Just Follow USAMA-NETWORK Send to 9900 & usama_tweet send to 40404,USAMA-NETWORK,positive,2,3
ClixSense is one of the oldest and most trusted PTC ( Paid To Click ) websites online .... Big Money For All ... http://fb.me/sNkNDtT5,ClixSense,positive,0,1
"Dear F1 management , thank you for warning about F1 traffic disruptions . Suntec is open & found a seat at Kenny Rogers for the first time !",Suntec,positive,13,14
GBP/U SD: Entering on a Retracement | Forex Blog : The Loonie ... : The Greenback's bringin' sexy back ! Or at least ... http://t.co/Wv04iHuX,Forex,neutral,7,8
TVCE a Michael Anthony shell get it cheap while you can pennystocks,Michael Anthony,neutral,2,4
Employee engagement lessons from the Winnipeg Jets . Lesson 5 : Progress and Set backs . http://t.co/cgAb3Czc,Winnipeg Jets,neutral,5,7
"Pfizer recalls expired lot of Prevnar vaccine : ( Reuters ) - Pfizer , the world's biggest drugmaker , ... http://t.co/kOe7O4sg #health #news",Reuters,neutral,9,10
This kicks the pants off of Google Street View : http://www.youtube.com/watch?v=ktdhOv8E5lo I want to use ... http://fb.me/FNisvc0L,Google,neutral,6,7
#Africa Tuareg Rockers Tinariwen Set for 2010 U.S . Summer Tour ... http://tinyurl.com/24toaml,Tinariwen,neutral,3,4
"Check out â?? The Change is Me â?? tab on Facebook featuring new blogs of our students , Jason and Tara , and lecturer Siva ! http://t.co/XyRb7dZ2",Jason,neutral,18,19
Happy Birthday @justinbieber my prince ... CHILE loves you & lt ; 3 follow me ? # 120,@justinbieber,positive,2,3
Egypt : ABC News' Christiane Amanpour Exclusive Interview with President Mubarak - ABC News http://abcn.ws/fl3l7Z,ABC News',neutral,2,4
Retired man stuck with medical bill : by LiAna Gonzales â?? I'd be driving through town and I'd get really sleepy an ... http://t.co/UZ8lqHOt,LiAna Gonzales,neutral,8,10
"Will Uma Thurman Be Shopping For Pink Or Blue ? : PINK , according to Life & Style ! Uma Thurman is expecting a baby ... http://t.co/Tr6XNRzs",Uma Thurman,positive,19,21
AUTOSAR timing models minimize ECU risks http://t.co/Naxqu3RA,ECU,neutral,4,5
Tony Romo among DFW celebrity golfers at AT & T Pro-Am : When Dallas Cowboys quarterback Tony Romo tees off today w ... http://t.co/sCgb3nwJ,AT & T,neutral,7,10
"SYRIA : Syrian tanks withdrawn from cities , says Arab League http://t.co/J3gFhZXg",Arab League,neutral,9,11
"Lady Gaga has 3 shows in HK , wonder if Singapore gonna have 3 too . Think there are still many little monsters out there who dont have tix",Lady Gaga,neutral,0,2
"Daily Aashiana Punjabi Newspaper online : Union Human Resources Development Minister , M http://t.co/UmaAOaPG",Union Human Resources Development,neutral,6,10
"Twitter Setting Up to Dominate Local Search : This last week , at the Chirp Conference ( Official Twitter Developer C ... http://bit.ly/cnLboy",Twitter,neutral,18,19
""" @ ESPN_MLB : Video : Kurkjian thinks Sox will hold on - http://t.co/gLbDBzIr""/ what about the braves ?",Kurkjian,neutral,6,7
I just unlocked the Explorer badge on @foursquare! Http://t.co/wLlj4L3h,@foursquare!,neutral,7,8
The Watcher's Council RIP edition : The Watcher's Council nominations for the week of February 27th were presen ... http://t.co/oCbF5kcW,The Watcher's Council,neutral,0,3
Interesting times ahead post #RussianElections - Putin may have won but will wider pop cont to ignore violations & arrests of opposition ?,Putin,negative,6,7
"Today â?? s Top Storie s: iPad HD Rumors , Colleges Demand Applicants â?? Facebook Data http://t.co/mhspesy0",Facebook,neutral,14,15
"Precise #News - 'No political differences between Fatah , Hama s': Palestinian Authority president says the two pa ... http://t.co/vIqdP3Rm",Hama s':,neutral,9,11
How can someone so incompetent like Maxine Waters stay in office for over 20 years ? #LAFail,Maxine Waters,negative,6,8
"@tjl That's great , Tom . We hope you enjoy and share them . Here's a great #video of @tigoe http://t.co/DOoKKtMf /gg",Tom,positive,4,5
@butterschlongs @fionasimpeijun cine . My friend just left .,My friend,neutral,4,6
"Help please . Which is that movie about ""The Doors"" , 70's movement and Jim Morrison in particular ? It was screening tonight in Sony Pix .",Jim Morrison,neutral,14,16
maat COLOMBIA LOVES YOU !!! NOTICE US !!!! PLZ ? :D ( @matthunter123 live on http://t.co/R6PmsVYA),maat,positive,0,1
Interior Minister assigned to the Governor Sana sight weapons to supporters of the ( secret document http,Governor Sana,neutral,5,7
"@hfreij hey Sehs , how's your trip ? Still in Miami ? Irene is a bitch , stay away from her lol",Irene,negative,12,13
